filename,title,author,year,citation order,citation text,citation scoring
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,"[('2.3.1.1', 0.03333333333333333), ('2.3.1.2', 0.03333333333333333), ('2.3.1.3', 0.03333333333333333), ('2.3.1.4', 0.03333333333333333), ('2.3.1.5', 0.03333333333333333), ('2.3.1.6', 0.03333333333333333), ('2.3.1.7', 0.03333333333333333), ('2.3.1.8', 0.03333333333333333), ('2.3.1.9', 0.03333333333333333), ('2.3.1.10', 0.03333333333333333), ('2.3.1.11', 0.03333333333333333), ('2.3.1.12', 0.03333333333333333), ('2.3.1.13', 0.03333333333333333), ('2.3.1.14', 0.03333333333333333), ('2.3.1.15', 0.03333333333333333), ('2.3.1.16', 0.03333333333333333), ('2.3.1.17', 0.03333333333333333), ('2.3.1.18', 0.03333333333333333), ('2.3.10.1', 0.03333333333333333), ('2.3.10.2', 0.03333333333333333), ('2.3.10.3', 0.03333333333333333), ('2.3.10.4', 0.03333333333333333), ('2.3.10.5', 0.03333333333333333), ('2.3.10.6', 0.03333333333333333), ('2.3.10.7', 0.03333333333333333), ('2.3.10.8', 0.03333333333333333), ('2.3.10.9', 0.03333333333333333), ('2.3.10.10', 0.03333333333333333), ('2.3.10.11', 0.03333333333333333), ('2.3.10.12', 0.03333333333333333)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,2,II.i.7,"[('2.1.7.1', 0.125), ('2.1.7.2', 0.125), ('2.1.7.3', 0.125), ('2.1.7.4', 0.125), ('2.1.7.5', 0.125), ('2.1.7.6', 0.125), ('2.1.7.7', 0.125), ('2.1.7.8', 0.125)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,3,II.ii.6,"[('2.2.6.1', 0.16666666666666666), ('2.2.6.2', 0.16666666666666666), ('2.2.6.3', 0.16666666666666666), ('2.2.6.4', 0.16666666666666666), ('2.2.6.5', 0.16666666666666666), ('2.2.6.6', 0.16666666666666666)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,4,III.iii.3,"[('3.3.3.1', 0.1111111111111111), ('3.3.3.2', 0.1111111111111111), ('3.3.3.3', 0.1111111111111111), ('3.3.3.4', 0.1111111111111111), ('3.3.3.5', 0.1111111111111111), ('3.3.3.6', 0.1111111111111111), ('3.3.3.7', 0.1111111111111111), ('3.3.3.8', 0.1111111111111111), ('3.3.3.9', 0.1111111111111111)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,5,III.i.2,"[('3.1.2.1', 0.08333333333333333), ('3.1.2.2', 0.08333333333333333), ('3.1.2.3', 0.08333333333333333), ('3.1.2.4', 0.08333333333333333), ('3.1.2.5', 0.08333333333333333), ('3.1.2.6', 0.08333333333333333), ('3.1.2.7', 0.08333333333333333), ('3.1.2.8', 0.08333333333333333), ('3.1.2.9', 0.08333333333333333), ('3.1.2.10', 0.08333333333333333), ('3.1.2.11', 0.08333333333333333), ('3.1.2.9n70', 0.08333333333333333)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,6,I.iii.6,"[('1.3.6.1', 0.0625), ('1.3.6.2', 0.0625), ('1.3.6.3', 0.0625), ('1.3.6.4', 0.0625), ('1.3.6.5', 0.0625), ('1.3.6.6', 0.0625), ('1.3.6.7', 0.0625), ('1.3.6.8', 0.0625), ('1.3.6.9', 0.0625), ('1.3.6.10', 0.0625), ('1.3.6.11', 0.0625), ('1.3.6.12', 0.0625), ('1.3.6.13', 0.0625), ('1.3.6.14', 0.0625), ('1.3.6.15', 0.0625), ('1.3.6.16', 0.0625)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,7,II.ii.4,"[('2.2.4.1', 0.07692307692307693), ('2.2.4.2', 0.07692307692307693), ('2.2.4.3', 0.07692307692307693), ('2.2.4.4', 0.07692307692307693), ('2.2.4.5', 0.07692307692307693), ('2.2.4.6', 0.07692307692307693), ('2.2.4.7', 0.07692307692307693), ('2.2.4.8', 0.07692307692307693), ('2.2.4.9', 0.07692307692307693), ('2.2.4.10', 0.07692307692307693), ('2.2.4.11', 0.07692307692307693), ('2.2.4.12', 0.07692307692307693), ('2.2.4.13', 0.07692307692307693)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,8,I.i.6,"[('1.1.6.1', 0.3333333333333333), ('1.1.6.2', 0.3333333333333333), ('1.1.6.3', 0.3333333333333333)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,9,II.iii.3,"[('2.3.3.1', 0.1), ('2.3.3.2', 0.1), ('2.3.3.3', 0.1), ('2.3.3.4', 0.1), ('2.3.3.5', 0.1), ('2.3.3.6', 0.1), ('2.3.3.7', 0.1), ('2.3.3.8', 0.1), ('2.3.3.9', 0.1), ('2.3.3.10', 0.1)]"
project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,10,II.i.6,"[('2.1.6.1', 0.09090909090909091), ('2.1.6.2', 0.09090909090909091), ('2.1.6.3', 0.09090909090909091), ('2.1.6.4', 0.09090909090909091), ('2.1.6.5', 0.09090909090909091), ('2.1.6.6', 0.09090909090909091), ('2.1.6.7', 0.09090909090909091), ('2.1.6.8', 0.09090909090909091), ('2.1.6.9', 0.09090909090909091), ('2.1.6.10', 0.09090909090909091), ('2.1.6.2n55', 0.09090909090909091)]"
