,filename,title,author,year,citation order,citation text,paragraph,credit
0,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.1,0.033
1,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.2,0.033
2,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.3,0.033
3,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.4,0.033
4,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.5,0.033
5,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.6,0.033
6,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.7,0.033
7,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.8,0.033
8,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.9,0.033
9,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.10,0.033
10,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.11,0.033
11,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.12,0.033
12,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.13,0.033
13,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.14,0.033
14,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.15,0.033
15,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.16,0.033
16,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.17,0.033
17,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.1.18,0.033
18,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.10.1,0.033
19,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.10.2,0.033
20,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.10.3,0.033
21,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.10.4,0.033
22,project_muse_228761,Scepticism About Persons in Book II of Hume's Treatise,"Ainslie, Donald C.",1999.0,1,II.iii.1,2.3.10.5,0.033
